bootstrap_sample,total_net_profit_model_minus_random,mean_equal_capital_roi_model_minus_random,total_equal_capital_net_profit_model_minus_random
534,-20694.1342681901,2.616560442598762,7745.872531565716
535,7850.398363340908,2.978581338101847,6202.727742046072
536,419639.4414566865,0.9738167974333942,38489.812676369285
537,67738.04009200289,3.083851117892471,-2923.068488398454
538,331620.208475981,5.104770761489696,33587.626537868106
539,458335.7725819866,2.6437967386198924,41809.50963230745
540,300918.91172548034,0.7191692924859518,12649.531463442658
541,221481.94844808563,1.8296098249515085,24558.406041794326
542,522772.94183472765,4.649606193245851,52266.41425062064
543,255295.3976680015,2.0557699466540154,28920.530729096892
544,370667.3019144285,0.8059007739747317,40169.382108844045
545,173909.53095959977,2.260826635774859,16049.307388749836
546,189113.04097909154,4.157785747064787,22478.32483240423
547,26521.176936055126,0.2672545038895535,-1166.2284140230004
548,480435.6443085906,3.144607846775645,49373.240553464966
549,53036.569625856006,0.3133060833745178,-5614.882231599102
550,224225.36995318707,3.7502899164463654,25405.794713472187
551,311622.0103428739,0.4413263185278238,36837.99735085317
552,180831.54540677468,0.4056865098245659,10358.294073864101
553,299902.4170290565,3.7642770340929834,32578.08289168234
554,149520.02720642663,5.023483756133981,8274.705386653939
555,-93131.91486192244,1.4419574426516943,-6082.1519162085315
556,19378.357435784565,4.223427633767607,4621.179391818552
557,-264771.4970735718,2.7091958709898813,-6194.910316779762
558,339324.78149159206,3.3182994722939285,26945.812224665948
559,220993.96567036834,-0.04673898424117251,17980.52184845591
560,147428.81688095635,-0.5573902150929095,13265.207899410463
561,116232.1088878508,3.4770680493663946,7341.607536587013
562,198534.046479079,1.9714141888011394,22775.005898925265
563,74603.26219432204,0.5940254669120533,3289.2819175884324
564,228003.64905963244,2.0255147831608795,-10040.468851974347
565,321922.74540867313,2.822776056485809,26139.88726851484
566,223908.89873396978,1.9042369240280879,26505.966212627984
567,51099.083314709365,1.2146658270817339,15907.262720973926
568,54010.264371009456,1.121691493445912,2395.8317865581266
569,268399.4858560262,1.9857148941107,28690.605687321586
570,143524.0799075151,3.9095309501820497,9949.97592950315
571,446510.13407479634,2.2662661312944357,41139.06280587303
572,243513.4970342621,1.3014213946574626,23461.263533541012
573,432452.9768581358,0.6064094624491769,33268.69018854192
574,212443.46931944764,2.995941364449813,19946.527517916307
575,201926.6227692473,2.7576067855309816,24461.015308105278
576,-19944.85501278995,2.525115401457242,4338.3604247722305
577,95068.26155100073,3.039290137647937,11145.691554059733
578,228729.51970813848,-1.7620141505992226,31467.998708406943
579,233218.83374150307,1.3642111862793218,17102.262376842784
580,278597.5577274337,4.581514408443896,30014.370289249746
581,131572.2334334628,0.7558282893046533,13156.133691594161
582,182239.22225742473,1.3191792910116318,14179.696210245253
583,336642.88690611953,5.337352864532679,35870.06139714621
584,405330.1358191202,1.0905127799202372,41356.54422177978
585,-93380.25858388457,1.360360007548243,3234.193715282392
586,272384.29649851815,2.5534220819730944,29732.281852182718
587,109427.14800964948,1.6268210600111654,-9493.121842088382
588,517750.26340458903,4.417024090202869,49983.97939134254
589,139800.28123155632,3.0432928948181437,6232.886263990447
590,181309.80777791137,0.13713426301872111,17116.293080163698
591,135028.6922410971,3.9939757350380796,4148.945354023201
592,444717.82167049823,3.4167004895039876,42957.02686167886
593,489470.3187382849,3.8364263937128933,55405.87760859367
594,152930.3342409294,3.4891669257026194,7115.40524053572
595,245785.5557627863,2.923208503160755,21599.767656684486
596,309914.12280827865,2.296900500245216,13889.465021830154
597,158161.67455916957,2.378045022021891,20906.631573443963
598,395134.5080245132,-1.0671308421544614,25314.74159410627
599,358905.1172263379,3.9040906498098584,23568.163134466533
600,296327.1221158762,0.2673309773763419,16480.797639494027
601,111412.55007792872,2.3196083207003837,-1798.7924449104576
602,259451.39974135676,3.3653745831786113,29647.406794748786
603,355307.4602446446,1.6378501438859514,35154.422828998235
604,115533.53881712726,3.5905374792376143,7652.165990631602
605,278597.5577274337,4.581514408443897,30014.370289249746
606,26709.57956153617,3.9773229474408556,8132.660718878029
607,164173.62943793903,0.9758007830620947,4960.247338248562
608,495377.8472724173,2.807962139767243,41604.65474330585
609,322828.9686038897,4.2717123562847945,31225.539666605568
610,367151.49738758133,1.60179580562136,44557.22803969316
611,194977.45583720796,2.9084724246674702,26355.25718258116
612,189679.1714302397,-0.12292551346565439,22657.575929815164
613,176865.5896400839,1.2772534480681506,20674.885454114108
614,232700.13860606117,2.737295329232989,28868.05308389051
615,144890.04106607765,2.8950719385543477,24569.42251619574
616,154233.25029794886,6.075927505803763,17081.33057787711
617,236565.51776573877,2.6406324371799648,28039.832830106177
618,377282.28661306755,1.5838914346985007,42524.54291500171
619,204263.1746679012,2.5242817672556717,23822.41989921195
620,429638.39942325506,1.9955117998713208,42712.9591147636
621,-39528.96135779633,0.7266005243127376,-2950.2127814233318
622,50563.23534365685,5.698740907593449,13767.971134587096
623,161321.00369425953,3.102124142354548,-2365.844289538456
624,457965.76787581074,2.130634891478442,38784.16689326755
625,42534.277249030536,2.3364657636980537,3146.3133412829993
626,318761.5982272518,4.76301864343199,34508.015868514296
627,244812.37678844185,0.6677654423365373,22026.60872730641
628,117562.6787588574,3.906506795255735,10557.675018688053
629,122249.78906209872,2.621989425189075,-5066.498428593321
630,116263.7990046777,4.5401627475766615,11992.329824922652
631,215585.27495419612,1.7237141104861182,26943.857942484105
632,638038.8525853276,1.6253852684826695,58211.49312142998
633,-37869.17017492367,2.934414440231829,2221.0660198618716
634,208969.7744847479,2.3927811005151733,16151.142047547291
