fold,seed_index,seed,start,end,strategy,target_count,status,total_trades,requested_trades,total_requested_notional,total_filled_notional,fill_rate,skipped_liquidity,skipped_capital,capital_capped_trades,liquidity_capped_trades,market_exposure_capped_trades,win_rate,total_net_profit,roi_pct,max_drawdown,sharpe,unique_markets,top_market_share,market_hhi,effective_markets,reason,profit_per_filled_notional,equal_capital_budget,equal_capital_supported,equal_capital_net_profit,equal_capital_roi
2,1,30001,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,38,39,3900.0,3004.3474647,0.7703455017939858,1,0,0,16,0,0.6578947368421053,17422.976147622303,5.7992546782099765,0.021528017916984166,1084.4212392164072,32,0.06657019614073535,0.044075589052013316,22.688295755274115,,5.799254697512852,547.387,True,3174.4366311074673,5.799254697512852
2,2,30002,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,18,18,1800.0,1461.3613534,0.8118674140451811,0,0,0,4,0,0.2777777777777778,9192.249782373057,6.290196259867162,0.04952529875877006,11.506813026468521,17,0.1368586896968915,0.07551732411394377,13.241994624851342,,6.290196302910563,547.387,True,3443.171683661304,6.290196302910563
2,3,30003,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,31,32,3200.0,3001.48891,0.9379652814438585,1,0,0,2,0,0.7741935483870968,30960.15438428525,10.31493209186501,0.009514438169372455,30.991207820220875,21,0.1332671923815304,0.06438077012173707,15.532588350669124,,10.314932126231062,547.387,True,5646.259751781242,10.314932126231062
2,4,30004,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,32,32,3200.0,2375.182887,0.7422446498679854,0,0,0,13,0,0.5,9664.514661148638,4.068955983707825,0.02788437168207188,17.304181585317007,28,0.08420404217908968,0.04577340679122735,21.846746180833843,,4.068956000838953,547.387,True,2227.2936184312316,4.068956000838953
2,5,30005,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,29,31,3100.0,1988.9210968999998,0.6415874485432662,2,0,0,16,0,0.6206896551724138,10576.309927059996,5.3176115886992585,0.019306961763211068,20.804395910034124,28,0.10055703080012918,0.051855695536777,19.284284776216758,,5.31761161543542,547.387,True,2910.791469338348,5.31761161543542
2,6,30006,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,206,214,21400.0,17377.822398799995,0.8120477752653981,8,0,0,45,0,0.529126213592233,205619.90899895274,11.832317315823667,0.019186380999960933,13.562749264094561,57,0.1381070622614792,0.05629965636871178,17.76209775510716,,11.832317322632528,547.387,True,6476.856682283851,11.832317322632528
2,7,30007,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,35,37,3700.0,2806.8573815000004,0.7586101010578106,2,0,0,13,0,0.9428571428571428,3212.109078961668,1.1443791511064616,0.011671042642110184,22.748395348714045,26,0.24938922961091672,0.09111287282169328,10.97539753748065,,1.144379155183545,547.387,True,626.418272618455,1.144379155183545
2,8,30008,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,94,95,9500.0,6794.909499200001,0.7152536307418385,1,0,0,48,0,0.4787234042553192,18591.701599116404,2.73612202987311,0.053406431749693034,11.751569308930067,53,0.07358449734449997,0.03260293686069695,30.67208344673717,,2.736122033899833,547.387,True,1497.717631770328,2.736122033899833
2,9,30009,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,7,7,700.0,547.387,0.7819814174002654,0,0,0,2,0,0.5714285714285714,-102.86781781397428,-0.18792520818857997,0.021742720999999982,-5.995225555021709,6,0.36537221380851204,0.23764721393632032,4.207918045561262,,-0.1879252116217124,547.387,True,-102.86781781397428,-0.1879252116217124
2,10,30010,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,116,118,11800.0,10051.9890104,0.851863474735709,2,0,0,22,0,0.5517241379310345,18953.625156771075,1.8855596756329178,0.06154101390328306,35.99179029679531,51,0.11937935852879013,0.042874470755615755,23.323903068098367,,1.8855596775087253,547.387,True,1032.1308551924685,1.8855596775087253
2,11,30011,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,21,21,2100.0,1800.6298039000003,0.8574427596788441,0,0,0,4,0,0.6190476190476191,-503.58642460214463,-0.2796723794722816,0.058967469852274794,-13.987971937185945,16,0.2776806198126042,0.11646152828542015,8.586526509846516,,-0.2796723810254736,547.387,True,-153.0890256323909,-0.2796723810254736
2,12,30012,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,37,41,4100.0,3173.831215689633,0.7741051726703858,3,1,0,8,3,0.8108108108108109,2534.5566787023954,0.7985795395127441,0.01718515124854571,15.183460913218047,20,0.37509436900883075,0.1698081088681677,5.8890002760490106,,0.7985795420288815,547.387,True,437.1320597725633,0.7985795420288815
2,13,30013,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,33,42,4200.0,2723.3346515000003,0.6484130107180643,0,9,0,8,9,0.8787878787878788,415.64805308187294,0.1526246696588277,0.009916499811510306,24.337962829464114,16,0.3671968846903206,0.19978142837961188,5.005470268737212,,0.15262467021926074,547.387,True,83.54476035731047,0.15262467021926074
2,14,30014,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,34,38,3800.0,2689.0375232,0.7076414516114699,4,0,0,12,0,0.5882352941176471,19070.17251701274,7.09182087701056,0.04634924749305486,15.596709543791963,22,0.4462563239251417,0.2216038397705447,4.5125571877970625,,7.091820903383643,547.387,True,3881.9705688404615,7.091820903383643
2,15,30015,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,138,147,14700.0,5193.4202265,0.3532938927188477,9,0,0,110,0,0.3333333333333333,17266.857023588298,3.3247563719636415,0.07549213008773324,11.206955768804344,76,0.11553080125086619,0.03884941679749296,25.740412146020486,,3.324756378365504,547.387,True,1819.928419684358,3.324756378365504
2,16,30016,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,292,292,29200.0,22671.4005583,0.7764178270731446,0,0,0,125,0,0.4726027397260274,49913.654808043415,2.2016132023989092,0.0685756155670102,12.295987466536182,112,0.057340965621291096,0.018853893555731645,53.03944233290724,,2.2016132033700067,547.387,True,1205.1344465530976,2.2016132033700067
2,17,30017,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,22,22,2200.0,1968.9979567,0.894999067159095,0,0,0,3,0,0.8636363636363636,13989.837888634796,7.1050545126166265,0.009883457937217583,13.078601328355191,17,0.10157450865779255,0.07539945482794919,13.262695364069376,,7.105054548701247,547.387,True,3889.214494249929,7.105054548701247
2,18,30018,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,226,229,22900.0,9083.510832,0.3966598614861747,3,0,0,152,0,0.8362831858407079,19603.40892224223,2.1581312846130722,0.09406689438868458,87.4207586362312,113,0.13210751021208228,0.042496129890878954,23.531554580800364,,2.1581312869889504,547.387,True,1181.3330107910206,2.1581312869889504
2,19,30019,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,17,18,1800.0,950.3622217,0.5279790091223389,1,0,0,11,0,0.5294117647058824,8494.878893559087,8.938569537179019,0.034748202166850026,13.404087457036002,15,0.3156691134706118,0.15591768969372208,6.413640440442367,,8.938569631233362,547.387,True,4892.856814731936,8.938569631233362
3,0,40000,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,204,209,20900.0,15062.827257767482,0.7207094378258558,4,1,4,109,2,0.21568627450980393,-3806.956042353012,-0.25273847828683593,0.5630910787368727,-8.681369208449516,105,0.03983315945488232,0.016377344973876544,61.05995822858328,,-0.2527384784546255,379.6824775,True,-95.96037165923258,-0.2527384784546255
3,1,40001,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,26,26,2600.0,1993.9310768999999,0.7668965650888593,0,0,0,14,0,0.6153846153846154,-313.0505007794608,-0.15700166512081717,0.06238507396556997,-7.242776098232592,20,0.30091310925994025,0.12428040625672487,8.046320656003564,,-0.15700166590821482,379.6824775,True,-59.61078148365829,-0.15700166590821482
3,2,40002,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,17,18,1800.0,1222.0991628000002,0.6789439755614225,1,0,0,9,0,0.6470588235294118,20010.455034850085,16.373838948768235,0.01584604798879977,13.72306428902504,16,0.16365284101968622,0.08922398641224893,11.207748501390844,,16.373839082749498,379.6824775,True,6216.859789124657,16.373839082749498
3,3,40003,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,8,10,1000.0,414.2577889,0.41425778475742214,2,0,0,7,0,0.625,-16.380739888889046,-0.039542381416561544,0.00994005879360914,-4.3449043290917375,8,0.24139558188039179,0.19633899063587318,5.093231847435654,,-0.039542382371097154,379.6824775,True,-15.013549704910492,-0.039542382371097154
3,4,40004,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,32,41,4100.0,379.6824775,0.09260548209120614,9,0,0,39,0,0.78125,-224.22186380794855,-0.5905509766445274,0.02375153113891675,-32.69878246742344,31,0.26337796955615367,0.15105030475843,6.620311038758038,,-0.5905509921983391,379.6824775,True,-224.22186380794855,-0.5905509921983391
3,5,40005,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,566,596,59600.0,42046.25279128985,0.7054740400039448,2,28,0,270,32,0.6183745583038869,273131.98391948635,6.495988720096062,0.3562881143540376,9.24970560544458,146,0.057079997399843804,0.020837556350738484,47.99027213978284,,6.495988721641025,379.6824775,True,2466.413091644722,6.495988721641025
3,6,40006,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,96,105,10500.0,8808.257756123861,0.8388816902604804,1,8,0,20,10,0.3020833333333333,7843.953435172563,0.8905226939815537,0.38767612127993245,6.557751279856462,32,0.10964328706472169,0.05765021257667903,17.34598981174486,,0.8905226949925626,379.6824775,True,338.11586310475303,0.8905226949925626
3,7,40007,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,27,27,2700.0,2264.1113239,0.8385597464868157,0,0,0,6,0,0.6296296296296297,9756.958840929237,4.3093988775377845,0.04424065444612021,8.181840566603327,23,0.1325023186065078,0.06268173356079768,15.953611095169496,,4.309398896571296,379.6824775,True,1636.203249585956,4.309398896571296
3,8,40008,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,18,19,1900.0,1667.5227052999999,0.8776435244860866,1,0,0,3,0,0.7777777777777778,9005.00134744038,5.4002270942499955,0.029169647245248596,9.721866757961818,17,0.11993839685920109,0.0658761330551114,15.180004557392715,,5.400227126634724,379.6824775,True,2050.371614503378,5.400227126634724
